code,Economy,GNIPC
BMU,Bermuda,106140
NOR,Norway,93740
CHE,Switzerland,84630
QAT,Qatar,83990
IMY,Isle of Man,85290
LUX,Luxembourg,77000
MAC,"Macao SAR, China",67180
AUS,Australia,60070
DNK,Denmark,58550
SWE,Sweden,57920
USA,United States,55980
IRL,Ireland,52580
SGP,Singapore,52090
ISL,Iceland,50140
NLD,Netherlands,48860
CAN,Canada,47540
AUT,Austria,47410
FIN,Finland,46550
DEU,Germany,45940
BEL,Belgium,44250
GBR,United Kingdom,43390
ARE,United Arab Emirates,43090
ADO,Andorra,43270
KWT,Kuwait,42150
HKG,"Hong Kong SAR, China",41000
FRA,France,40540
NZL,New Zealand,40020
JPN,Japan,38840
BRN,Brunei Darussalam,38010
ISR,Israel,35770
ITA,Italy,32810
ESP,Spain,28530
KOR,"Korea, Rep.",27450
CYP,Cyprus,25990
MLT,Malta,23930
SAU,Saudi Arabia,23550
SVN,Slovenia,22190
BHS,"Bahamas, The",20740
PRT,Portugal,20530
GRC,Greece,20320
BHR,Bahrain,19840
PRI,Puerto Rico,19320
EST,Estonia,18360
CZE,Czech Republic,18140
TTO,Trinidad and Tobago,17640
SVK,Slovak Republic,17570
OMN,Oman,16910
URY,Uruguay,15720
NRU,Nauru,15420
KNA,St. Kitts and Nevis,15060
LVA,Latvia,14980
LTU,Lithuania,14940
SYC,Seychelles,14760
BRB,Barbados,14510
CHL,Chile,14100
POL,Poland,13340
ATG,Antigua and Barbuda,13270
HUN,Hungary,12980
GNQ,Equatorial Guinea,12820
HRV,Croatia,12700
ARG,Argentina,12460
PLW,Palau,12180
PAN,Panama,11880
RUS,Russian Federation,11450
KAZ,Kazakhstan,11390
MYS,Malaysia,10570
CRI,Costa Rica,10400
TUR,Turkey,9950
BRA,Brazil,9850
MUS,Mauritius,9780
MEX,Mexico,9710
ROM,Romania,9500
SUR,Suriname,9360
GAB,Gabon,9200
GRD,Grenada,8650
CHN,China,7930
LBN,Lebanon,7710
BGR,Bulgaria,7480
TKM,Turkmenistan,7380
LCA,St. Lucia,7350
MNE,Montenegro,7220
COL,Colombia,7140
MDV,Maldives,6950
DMA,Dominica,6800
VCT,St. Vincent and the Grenadines,6630
AZE,Azerbaijan,6560
BLR,Belarus,6460
BWA,Botswana,6460
IRN,"Iran, Islamic Rep.",6550
DOM,Dominican Republic,6240
TUV,Tuvalu,6230
PER,Peru,6130
ZAF,South Africa,6080
ECU,Ecuador,6030
IRQ,Iraq,5820
THA,Thailand,5720
SRB,Serbia,5540
NAM,Namibia,5190
MKD,"Macedonia, FYR",5140
JAM,Jamaica,5050
DZA,Algeria,4870
FJI,Fiji,4830
MHL,Marshall Islands,4770
JOR,Jordan,4680
BIH,Bosnia and Herzegovina,4670
BLZ,Belize,4490
ALB,Albania,4280
TON,Tonga,4280
PRY,Paraguay,4190
AGO,Angola,4180
GEO,Georgia,4160
GUY,Guyana,4090
TUN,Tunisia,3980
KSV,Kosovo,3970
SLV,El Salvador,3940
WSM,Samoa,3930
ARM,Armenia,3880
MNG,Mongolia,3870
LKA,Sri Lanka,3800
GTM,Guatemala,3590
FSM,"Micronesia, Fed. Sts.",3560
PHL,Philippines,3550
IDN,Indonesia,3440
KIR,Kiribati,3390
EGY,"Egypt, Arab Rep.",3340
CPV,Cabo Verde,3280
SWZ,Swaziland,3280
VUT,Vanuatu,3170
MAR,Morocco,3030
WBG,West Bank and Gaza,3090
BOL,Bolivia,3000
NGA,Nigeria,2820
UKR,Ukraine,2640
COG,"Congo, Rep.",2540
BTN,Bhutan,2380
HND,Honduras,2280
MDA,Moldova,2240
PNG,Papua New Guinea,2240
TMP,Timor-Leste,2180
UZB,Uzbekistan,2160
VNM,Vietnam,1990
NIC,Nicaragua,1940
SLB,Solomon Islands,1920
SDN,Sudan,1920
STP,S? Tom?and Principe,1760
LAO,Lao PDR,1740
IND,India,1600
ZMB,Zambia,1490
GHA,Ghana,1480
PAK,Pakistan,1440
CIV,C?e d'Ivoire,1420
KEN,Kenya,1340
MRT,Mauritania,1370
CMR,Cameroon,1320
LSO,Lesotho,1280
TJK,Tajikistan,1280
BGD,Bangladesh,1190
KGZ,Kyrgyz Republic,1170
MMR,Myanmar,1160
YEM,"Yemen, Rep.",1140
KHM,Cambodia,1070
SEN,Senegal,980
TZA,Tanzania,920
TCD,Chad,880
ZWE,Zimbabwe,860
BEN,Benin,840
HTI,Haiti,810
SSD,South Sudan,790
COM,Comoros,780
MLI,Mali,760
NPL,Nepal,730
RWA,Rwanda,700
UGA,Uganda,700
BFA,Burkina Faso,640
SLE,Sierra Leone,620
AFG,Afghanistan,610
ETH,Ethiopia,590
GNB,Guinea-Bissau,590
MOZ,Mozambique,590
TGO,Togo,540
GIN,Guinea,470
GMB,"Gambia, The",460
MDG,Madagascar,420
ZAR,"Congo, Dem. Rep.",410
NER,Niger,390
LBR,Liberia,380
MWI,Malawi,340
CAF,Central African Republic,330
BDI,Burundi,260
