keyword,노출수,클릭수
bmk,4438,1136
bmk꽃피는봄이오면,2365,79
bmk나가수,85,10
bmk나는가수다,80,55
mbc나는가수다,161,77
yb나는나비,8,0
그런이유라는걸,610,206
김범수,1539,874
김범수7위,59,30
김범수그런이유라는걸,2406,1087
김범수나가수,9,6
김범수나는가수다,32,28
김연우,8550,4838
김연우6위,6,11
김연우교수,5429,2751
김연우극찬,5663,3586
김연우나가수,50,26
김연우나는가수다,2279,1379
김연우나는가수다동영상,9,8
김연우동영상,40,9
김연우여전히아름다운지,17792,9971
김태호극찬,2701,1418
꽃피는봄이오면,355,273
나가수,4350,2920
나가수bmk,78,39
나가수김범수,45,16
나가수김연우,114,53
나가수다시보기,40,25
나가수동영상,389,323
나가수무편집영상,44,54
나가수미공개,282,190
나가수미공개영상,202,100
나가수박정현,38,12
나가수박정현미아,5,5
나가수영상,12,4
나가수예고편,133,75
나가수윤도현,34,14
나가수이소라,30,8
나가수임재범,4019,2256
나가수임재범너를위해,89,30
나는가수다,67255,40911
나는가수다1위,265,141
나는가수다bmk,3454,90
나는가수다결과,6,7
나는가수다김범수,96,45
나는가수다김연우,367,261
나는가수다김연우여전히아름다운지,7,4
나는가수다노래,37,25
나는가수다노래듣기,909,506
나는가수다다시보기,129,155
나는가수다동영상,1812,721
나는가수다동영상윤도현,51,11
나는가수다동영상임재범,252,236
나는가수다무편집영상,25,24
나는가수다미공개,11170,3814
나는가수다미공개영상,4052,4396
나는가수다박정현,125,109
나는가수다박정현미아,11,13
나는가수다영상,15,5
나는가수다예고편,723,287
나는가수다윤도현,86,70
나는가수다윤도현나는나비,31,6
나는가수다이소라,137,93
나는가수다임재범,2891,2313
나는가수다임재범너를위해,67,63
나는나비,212,127
나를사랑하지않는그대에게,192,233
미아,295,207
박정현,3429,2370
박정현김태현,726,412
박정현나가수,10,9
박정현나는가수다,59,45
박정현미아,15788,7986
여전히아름다운지,329,279
윤도현,2306,1170
윤도현나는가수다,49,36
윤도현나는나비,5877,2999
윤도현임재범,6022,3299
이소라,1761,846
이소라나가수,7,4
이소라나는가수다,1070,459
이소라나는가수다동영상,16,0
이소라나를사랑하지않는그대에게,531,414
임재범,24622,26996
임재범1위,745,552
임재범나가수,188,104
임재범나는가수다,5476,4667
임재범나는가수다동영상,371,226
임재범나만가수다,9201,6653
임재범너를위해,38925,29050
임재범동영상,184,95
임재범딸,35872,22794
임재범미션곡,518,287
임재범박정현,3423,1988
