"","text6...2."
"1","
        뉴스>국민> 수원 권선동 자이e편한세상 잔여가구, 교통 편하고 주변에 초·중·고교 8곳 밀집: GS건설은 경기도 수원시 권선동에 ‘권선자이e편한세상’ 잔여가구를 분양 중이다.  

 권선자이e편한세상은 권... http://bit.ly/bdZECO

    "
"2","
        @chuchuhoneyb 한두해 이야기도 아니죠. 서울에 인구집중을 분산화해야하는 큰이유죠. 그리고. 경기도간 교통을 발전시켜야 해요. 분당에서 수원 한번 갈라하면 서울가서 버스타는게 더 편하니까요.

    "
"3","
        요런것도 필요한정보...RT @ggholics: @Ryul2 그리고 경기도 공공기관 트윗주소는 경기도대기오염정보센터(수원) @airgg / 수원교통정보센터 @poltra031 / 경기도여성능력개발센터 @gg_gw... http://dw.am/L5pb1

    "
"4","
        경기도는 29일 동탄2 신도시 광역교통대책의 일환으로 '화성~수원~용인~오산'을 연결하는 신교통수단 노선을 확정, 발표했다.  http://j.mp/bR95Lz http://twitpic.com/29uzsi

    "
"5","
        경기도 수원에서 여주로 구경가려고 하는데요!! 교통편이나 추천할 만한 곳 아시는 분 알려주세요!!제가 아는 곳은 여주문화원, 신륵사, 4대강 현장 이정도 거든요!!~~^^

    "
"6","
        @reenjang Gtx에 대한 제 의견은 경기도 교통에 정말 문제 많습니다.용인 보정에 거주하는데 경부선탈려고 수원 갈려면 3시간 이상걸립니다.지하철도 없고. 차를 이용하면40분이면 충분한거린데... 이런문제가 지역 발전의 발목을 잡기도 하기에..

    "
"7","
        @kimmoonsoo1 우면산 터널 지나고 나시면 수원오실때는 괜찮으실거에요  경기도 교통정보센터 홈페이지를 보니까 잘 나와있더라구요 고맙습니다.

    "
"8","
        RT 경기도 교통정보센터 @16889090: (11:50) 국도1호선 병점지하차도 수원방면 2차로를 통제하면서 지하차도시설물공사중입니다. 정체되지는 않네요. 오산에서 수원가시는분 참고하시고 안전운행하세요.http://twitpic.com/1dbj01

    "
"9","
        RT 경기도 교통정보센터 자료입니다.@16889090: 09시 현재 학의JC 수원방향은 아직 혼잡하네요 다른곳은 거의 풀려가고 있습니다. http://twitpic.com/1buiyl

    "
"10","
        RT @namkoong: [트위터 교통정보운영자 소개]또다른 아리따운 교통정보운영자 경기도센터 @bongjazero 그리고 수원센터에서도 교통정보 트윗중 @kwonbw2  우선 개인계정이지만 다양한 정보제공. 격려/제안/팔로/알티 부탁

    "
"11","
        시내 출장 갑니다. 오늘은 수원대학교 가네요. 경기도 대중 교통 시스템이 제 생각이지만, 서울을 중심으로 되어 있어서 용인 구성에서 화성시 갈 때 시내 버스 타면 2시간 걸립니다. 쩝. 어쩔 수 없이 자가용을 이용할 수 밖에 없습니다.

    "
"430","
        여기는 경기도 교통정보센터(수원 금곡동) 정말 외졌다

    "
"1786","
        흥덕 IT밸리를 지나는 신교통수단!!: 경기 도 화성 (동탄 ·병점)·오산 ·수원 (광교 ·영통)·용인(흥덕·서천)을 잇는 신교통수단 노선이 정해졌다. 경기도는 화성 동탄2신도시 광역교통.. http://blog.daum.net/soso50sc/100

    "
"2410","
        RT @Ryul2: #suwon 1월 2일부터 16일까지 2주 간 '무한도전 사진전'이 경기도 화성 동탄 메타폴리스에서 하는데, 교통편이 불편하네요!! 수원에서 대중교통으로 가는 법 아시는 분 멘션 부탁드립니다!! 꼭이요!!

    "
"2746","
        뉴스>동아> 교통, 교육, 생활의 삼박자 프리미엄을 동시에! '수원 아이파크 시티':  최근 경기도 수원시 소재 ‘삼성디지털시티’에서 연면적 30만㎡ 규모에 달하는 신규 연구소 ‘R5’ 기공식이 열렸다... http://bit.ly/fppyUb

    "
"4216","
        저도 궁금함, RT @gu_chic: 집을 구해야 하는데, 집값(저렴한쪽으로)이나 교통편을 고려햇을때,, 서울쪽(서울근교의 경기도도 OK)이 낫나요? 아님 지금 현재 살고 있는곳(수원)이 나을까요?

    "
"5032","
        경기도교통연수원에서 직무연수받는 수원여객500명의 명품운전기사님들 이라고 부르고싶다. 원더풀 twitpic.com/401al8

    "
